单词,解释,次数
ritual,仪式,6
innovation,革新,6
subjective,主观,6
pastime,消遣,6
nickel,镍,6
prospective,预期,6
expend,花费,6
elite,原种,6
fluctuate,波动,6
pedestrian,行人,6
verse,诗,6
erosion,侵蚀,6
poll,轮询,6
expenditure,支出,6
perception,知觉,6
compensate,补偿,6
intuition,直觉,6
wedge,楔,6
converge,汇集,6
historic,历史性,6
paradise,天堂,6
intellect,智力,6
tutor,导师,6
yacht,游艇,6
drought,干旱,6
glide,滑行,6
clearance,净空,5
tuck,掖,5
advent,来临,5
integrate,整合,5
bypass,旁路,5
diagnose,诊断,5
tease,逗,5
embed,嵌,5
henceforth,今后,5
gorgeous,华丽,5
sue,起诉,5
prey,猎物,5
eject,喷射,5
boom,繁荣,5
resemblance,相似,5
fantasy,幻想,5
grief,哀思,5
incidentally,顺便,5
recruit,招,5
induce,促使,5
abnormal,不正常,5
ban,禁止,5
paradox,悖论,5
tract,管道,5
buzz,蜂鸣器,5
savage,野蛮人,5
badge,徽章,5
fling,一扔,5
capsule,胶囊,5
momentum,动量,5
blossom,开花,5
inertia,惯性,5
destined,注定,5
vent,发泄,5
justification,理由,5
ceramic,陶瓷的,4
morality,道德,4
barely,仅仅,4
spectacular,壮观,4
accord,符合,4
foremost,最重要的是,4
ignite,点燃,4
smash,粉碎,4
exquisite,精美,4
ascertain,探明,4
snack,小吃,4
confront,面对,4
luminous,发光的,4
tragic,悲惨,4
immune,免疫的,4
pope,教皇,4
stabilize,稳定,4
marsh,沼泽,4
unify,统一,4
assault,突击,4
solidarity,团结,4
conception,概念,4
brutal,野蛮,4
prophet,预言家,4
confidential,机密,4
stern,严肃,4
premise,前提,4
disrupt,破坏,4
questionnaire,调查问卷,4
recreation,娱乐,4
cartoon,动画片,4
constrain,压抑,4
verdict,判决书,4
inference,推理,4
regime,政权,4
comply,执行,4
retail,零售,4
breakdown,分解,4
jerk,混蛋,4
ego,自我,4
detach,分离,4
weary,厌倦,4
analogy,比喻,4
dentist,牙医,4
bump,磕碰,4
flutter,扑,4
zinc,锌,4
productivity,生产率,4
concise,简洁,4
acknowledge,确认,4
timely,及时,4
incur,招致,4
hamper,阻碍,4
convict,定罪,4
watertight,防水,4
apt,易于,4
cooperative,合作社,4
depression,萧条,4
nutrition,营养,4
rage,愤怒,4
foresee,预料,4
invaluable,无价,4
incentive,激励,4
controversy,争议,4
ambassador,大使,4
vocational,专业,4
elapse,过去,4
crisp,脆,4
brace,支撑,4
forum,论坛,3
prestige,声望,3
manuscript,手稿,3
gossip,八卦,3
radical,激进,3
decisive,决定性,3
administer,管理,3
peel,剥,3
chronic,慢性,3
deliberate,商榷,3
tangle,纠纷,3
bald,秃,3
inspiration,灵感,3
oval,椭圆,3
bleak,苍凉,3
acquisition,获得,3
corrupt,腐败,3
fraud,舞弊,3
hinder,阻碍,3
certainty,肯定,3
expel,驱逐,3
presume,假设,3
stubborn,倔强,3
cruise,巡航,3
inhabit,居住于,3
hover,徘徊,3
oriental,东方的,3
skeptical,怀疑的,3
installment,分期付款,3
cosmic,宇宙的,3
counterpart,副本,3
dismay,沮丧,3
essence,本质,3
census,人口调查,3
mortgage,抵押,3
allowance,津贴,3
drainage,引流,3
scrutiny,审查,3
aerial,天线,3
migrate,迁移,3
coherent,相干,3
rigorous,严格,3
disguise,伪装,3
warfare,战,3
reciprocal,倒数,3
destructive,有害,3
bachelor,单身汉,3
notable,显着,3
sheer,绝对,3
glare,强光,3
bias,偏压,3
irony,讽刺,3
endow,赋予,3
petty,小气,3
initiate,发起,3
reclaim,回收,3
clinic,诊所,3
multitude,苠,3
revolve,围绕,3
caution,警告,3
perfection,完美,3
federation,联邦,3
splash,溅,3
perpetual,永动的,3
saint,圣,3
rig,操纵,3
fossil,化石,3
impetus,原动力,3
plateau,高原,3
assurance,保证,3
comparable,可比,3
doctrine,教义,3
cautious,谨慎,3
energetic,有活力,3
lick,舔,3
facet,面,3
dread,恐惧,2
tolerant,宽容,2
bizarre,奇异的,2
narrative,叙述,2
competence,权限,2
electrician,电工,2
intrinsic,固有,2
sauce,酱,2
differentiate,区分,2
lamb,羊肉,2
clamp,钳,2
diversion,导流,2
indulge,放纵,2
mortal,凡人,2
slogan,口号,2
underestimate,低估,2
cater,迎合,2
liner,衬垫,2
intermittent,断断续续的,2
shrewd,精明,2
scar,瘢痕,2
inflation,通货膨胀,2
disregard,漠视,2
myth,神话,2
fellowship,奖学金,2
conscientious,有良心,2
rejoice,麾,2
economics,经济学,2
quarterly,季刊,2
decent,正经,2
plague,鼠疫,2
surpass,超过,2
superiority,优势,2
deprive,剥夺,2
stitch,缝,2
incorporate,合并,2
tenant,承租人,2
supplementary,补充,2
ballet,芭蕾舞,2
humanity,人性,2
entrepreneur,企业家,2
ethics,伦理,2
elevate,提升,2
mock,嘲笑,2
litter,窝,2
disable,禁用,2
diminish,减少,2
extinguish,扑灭,2
foil,挫败,2
safeguard,保障,2
adjoin,毗,2
misfortune,不幸,2
abrupt,突兀,2
courtesy,礼貌,2
timber,木材,2
rebellion,暴动,2
elderly,老年,2
texture,质地,2
recession,不景气,2
hospitality,待客,2
accessory,附件,2
fusion,聚变,2
lounge,休息室,2
compulsory,义务,2
tribute,贡,2
obedient,听话,2
racket,球拍,2
charity,慈善机构,2
militant,激进,2
orient,东方,2
unanimous,一致,2
intervene,干预,2
commemorate,纪念,2
contend,抗衡,2
shabby,破旧,2
avail,果,2
couch,长椅,2
studio,工作室,2
wretched,可怜,2
nonetheless,尽管如此，,2
youngster,青少年,2
strive,努力,2
analytic,解析,2
ponder,思考,2
cherish,珍视,2
residential,住宅,2
formidable,强大,2
hug,拥抱,2
decline,下降,2
conspicuous,显着,2
recycle,回收,2
extinct,绝种,2
carve,雕刻,2
undermine,破坏,2
lobby,前厅,2
republican,共和党人,2
corps,兵团,2
spacious,宽敞,2
legislation,立法,2
terrific,了不起,2
retrospect,回想起来,2
stumble,绊倒,1
transplant,移植,1
depict,描绘,1
deteriorate,恶化,1
commute,改判,1
correlate,关联,1
refute,反驳,1
locality,局部性,1
quantify,量化,1
shatter,打碎,1
smuggle,走私,1
bud,芽,1
scandal,丑闻,1
timid,胆小,1
bruise,挫伤,1
casualty,受害者,1
discriminate,辨析,1
readily,容易,1
adolescent,青少年,1
layman,外行,1
commonplace,平凡,1
ideology,思想,1
ensue,接踵而至,1
abolish,废除,1
despise,讨厌,1
fascinate,吸引,1
renaissance,再生,1
sponge,海绵,1
rectify,纠正,1
abundance,丰富,1
speculate,推测,1
proclaim,宣布,1
eloquent,雄辩,1
pedal,踏板,1
gracious,亲切,1
revelation,启示,1
intelligible,明了的,1
amplify,放大,1
sturdy,粗壮,1
tempo,速度,1
repay,偿还,1
commence,开始,1
proficiency,精通,1
premature,过早,1
turbulent,汹涌,1
premium,额外费用,1
symptom,症状,1
denial,否认,1
gloomy,阴沉,1
elicit,引出,1
catholic,天主教徒,1
subscribe,订阅,1
unemployment,失业,1
mourn,悼,1
hasty,匆,1
dubious,可疑,1
drastic,激烈,1
displace,顶替,1
irritate,刺激,1
curriculum,课程,1
pose,提出,1
profound,深刻,1
literacy,读写能力,1
irrigation,灌溉,1
overwhelm,压倒,1
ivory,象牙,1
defy,违抗,1
postulate,假定,1
obligation,义务,1
conserve,养护,1
guardian,监护人,1
vein,静脉,1
surge,浪涌,1
knit,针织,1
solitary,孤,1
slim,瘦,1
radiate,辐射,1
authentic,真实,1
midst,中间,1
notwithstanding,虽然,1
testimony,见证,1
degrade,降级,1
formulate,制定,1
prescription,处方,1
evoke,唤起,1
inject,注入,1
recite,背诵,1
privacy,隐私,1
expire,到期,1
feeble,微弱,1
baffle,障,1
purity,纯度,1
dignity,尊严,1
collaboration,合作,1
reckon,估计,1
flatter,奉承,1
cling,依偎,1
concession,让步,1
vocal,声音的,1
contradict,顶撞,1
betray,背叛,1
prolong,延长,1
sensation,感觉,1
disperse,分散,1
instrumental,仪器的,1
deem,认为,1
augment,增加,1
tumble,下跌,1
misery,苦难,1
agony,痛苦,1
revive,复活,1
boost,促进,1
tariff,关税,1
miniature,微型,1
costume,服装,1
enclosure,附件,1
recur,复发,1
asset,财富,1
thirst,口渴,1
infectious,传染病,1
superb,高超,1
dissipate,消散,1
